participant,age,gender,experience,years,number,fake_mris,comment,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.34a5d5ab-e6e2-4823-9625-b2d64a5e6267.txt,11136,3001,6211,11644,8605,"",18208,125156,2020-10-31-20-42,2020-10-31-20-58,16
s.e63ca84f-7fe4-47cf-8268-3b5b66a31a3f.txt,6729,2623,1899,5863,1872,"",6977,6461,2020-11-29-08-21,2020-11-29-08-37,16
s.7bff45f8-366a-476e-beea-731fcf15cb3f.txt,10634,1933,8308,25414,9082,"",79767,36679,2020-11-01-00-07,2020-11-01-00-21,14
s.20a14724-1148-4ff1-8669-ee96245af7de.txt,6964,2493,66131,10959,5202,"","",179628,2021-01-26-14-18,"",""
s.1b33c739-ed86-4ff8-a5f8-40ca8092236c.txt,7209,4087,9569,10058,9384,"","",229336,2020-12-04-14-52,"",""
s.fec966c5-8fb4-45bc-b104-049b888a2986.txt,5589,6068,62609,8600,"","","",16785,2020-12-04-12-52,"",""
s.8298f856-1bf9-4b37-bdb1-e9459a7805d2.txt,6917,1877,12695,18336,17884,"",4279,109816,2020-11-27-18-08,2020-11-27-18-22,14
s.86e4bc74-245c-4e28-8fb2-5f2de48767bb.txt,5022,2875,8220,7709,5876,"",4596,90704,2020-12-17-15-15,2020-12-17-15-32,17
s.266caa5b-04b0-4139-a4fe-7900bc5411b9.txt,7052,3996,4360,5691,4397,"",5482,17271,2020-10-16-13-26,2020-10-16-13-34,8
s.c91f0e13-361a-4335-9b16-e154697a08c3.txt,7907,2174,15255,15500,9493,"",31043,74922,2020-12-15-11-06,2020-12-15-11-23,17
s.3341a4ce-466b-4c1a-8af7-d6d1b0db930c.txt,7579,3236,13745,18415,7699,"",6115,21722,2020-09-23-10-14,2020-09-23-10-25,11
s.d47a9939-995a-43de-b09c-190410222cac.txt,7266,2299,10195,6557,7319,"",9004,38704,2020-11-27-17-45,2020-11-27-17-56,11
s.d47ab18d-4d6c-4be0-947a-8b5eee291c31.txt,6084,3713,10562,17685,12481,"","",16611,2020-11-27-16-35,"",""
s.fdaa8547-af95-49e2-86e5-845d017c65f3.txt,6195,1863,22891,15713,25537,"",109287,95173,2020-11-30-12-09,2020-11-30-12-35,26
s.8d58d3b0-f3b8-41be-99ef-d5162620a2ed.txt,4597,1934,1425,2057,1867,"",31503,4594,2020-11-29-07-41,2020-11-29-09-36,115
s.c1724b6d-b57d-4a0d-83f2-7c16eb2680be.txt,7307,1836,14981,13970,9292,"",43425,226420,2020-11-30-13-47,2020-11-30-14-00,13
s.ac23c4af-c755-4165-81d4-f04fd648ce51.txt,"","","","","","","",185088,2020-12-24-03-10,"",""
s.2eb9e6be-e025-46c9-a8a7-fe0034d32dfe.txt,8261,2503,11507,5792,12228,"",12625,20551,2020-09-17-14-11,2020-09-17-14-25,14
s.7e604ff4-62bc-4424-89cb-7b2f16bc6feb.txt,14911,2477,12141,12966,10821,"","",313947,2020-12-04-11-19,"",""
s.2137eb98-9d8e-4bda-96ca-20e7923865de.txt,15312,3792,11759,8779,9547,"",46701,142543,2020-10-16-20-28,2020-10-16-20-49,21
s.a0a68f29-b156-4c32-b7cd-ad00da8aa828.txt,7408,1702,8133,4111,6830,"",3878,6821,2021-01-25-12-10,2021-01-25-12-31,21
s.8d59d339-246d-4c12-a392-bbe33e4bea41.txt,4219,1510,8366,3800,18023,"",4958,6993,2020-10-12-20-39,2020-10-12-20-53,14
s.441eba0f-1f0c-4b6f-b106-cfb6e9916a43.txt,5615,2365,20275,6168,11295,"",65677,197159,2021-01-24-12-51,2021-01-24-13-10,19
s.1cd784ab-fc0d-4683-a1b8-aea7a78d74ac.txt,6173,2307,10188,6750,8551,"","",6614,2020-11-29-08-19,"",""
s.afd0b3d1-5f60-441d-88b1-3bb8352de305.txt,6855,2469,8123,4555,11482,"","",4169,2020-11-28-05-39,"",""
s.7dc9bac4-68c7-43cf-a0b2-07574317cdf2.txt,1268,2951,5028,10664,8619,"",126578,21970,2020-11-27-16-09,2020-11-27-16-30,21
s.307c86b7-d890-426a-8040-8968f929240d.txt,6013,2554,13423,10281,7189,"",65081,384479,2020-12-15-12-32,2020-12-15-12-53,21
s.c8e3e229-bd61-4293-abd2-df28bbc90b79.txt,2988,2963,14112,17341,14956,"","",8050,2020-10-31-10-55,"",""
s.ab508a0b-d1d0-4115-9aea-bc6ff2728dae.txt,9804,5443,5456,7267,4308,"","",8977,2020-11-27-16-41,"",""
s.400ffca9-d316-4d46-9726-f77e5484f0e4.txt,4784,3508,6582,4029,3874,"","",19353,2021-01-19-11-18,"",""
s.ca7c2c3d-f39c-46c7-9d02-43000afc6f24.txt,7336,1822,11770,6760,9372,"","",116504,2021-01-20-10-32,"",""
s.1905c40c-ff96-495f-adfe-723af338feb7.txt,6818,2548,11508,8828,8914,"","",5069155,2021-01-15-14-26,"",""
s.7f638754-175d-43af-9db4-3341b1067cb9.txt,7366,3218,15432,15454,10906,"",6602,142931,2020-11-29-06-11,2020-11-29-06-25,14
s.ab7f8180-7d5b-4812-8b44-44c5a3d3c4ba.txt,3451,1772,1579,4341,1848,"","",5433,2020-10-30-21-25,"",""
s.f8a33b1f-a088-4ee0-8106-7a5107fd26a9.txt,6480,2176,2289,3923,1736,"",127877,3315,2020-11-27-16-38,2020-11-27-17-03,25
s.fc7c08ba-8c4d-48b0-9d18-6fcd0d6ccdb8.txt,11237,3187,13789,10063,12881,"","",54122,2020-11-27-16-35,"",""
s.3d0d22ed-5a75-4066-bdba-abec371fb708.txt,5898,2373,6322,16918,10456,"",33367,3507,2020-10-31-13-54,2020-10-31-15-21,87
s.eb3da156-ac16-4179-a695-839dbb9d7963.txt,6693,2622,8514,4693,6554,"","",835739,2020-11-29-07-38,"",""
s.3e5acde4-6ebd-48af-a360-211d64970b6d.txt,7954,4632,17754,7095,11070,"",4579,12419616,2020-10-16-18-38,2020-10-16-18-51,13
s.eb4bdf39-440b-4b01-894c-0f15dc9c3a99.txt,13980,2385,80287,10424,8509,"","",89313,2020-11-30-06-25,"",""
s.13fef1d4-d971-4fbb-b820-73cb947ccb96.txt,7264,3067,53309,9905,11770,"",6609,78110,2020-10-31-15-52,2020-10-31-16-08,16
s.a133fd54-3079-4877-858f-088835fc13e3.txt,12091,2274,22921,31669,35420,"",5907,5255,2020-12-24-03-10,2020-12-24-03-27,17
s.cb5cf850-682b-496d-b981-bf9802aa0cd0.txt,8063,3165,18840,10578,11188,"",4094,122263,2020-11-29-11-59,2020-11-29-12-20,21
s.ffa39ba4-5a6a-4427-9901-be78a6528347.txt,7275,1362,6079,3613,3413,"","",11904,2020-10-30-20-59,"",""
s.60a37d7f-9d9d-453c-acbd-59532806aa49.txt,14018,4210,18828,4571,6779,"",24267,124912,2020-12-08-03-03,2020-12-08-03-20,17
s.993c7bd7-00af-4e7e-9d34-06591cdf31bd.txt,7351,3017,12947,4076,8443,"","",8326,2021-01-07-08-08,"",""
s.9283301b-6c18-4d94-abfc-6a79e7bcaa8c.txt,4277,1827,8090,3999,2955,"","",12574,2020-12-01-20-09,"",""
