,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
0,1,TRAINING_BLOCK,2,TRAINING_TASK,1,9,2,1,7092,2,7954,1,539,6,0,0,1,1,0,3
1,1,TRAINING_BLOCK,2,TRAINING_TASK,2,19,2,1,8853,2,60000,1,554,6,0,0,1,1,0,3
2,1,TRAINING_BLOCK,2,TRAINING_TASK,3,16,2,1,2233,2,24440,1,465,6,0,0,1,1,0,3
3,1,TRAINING_BLOCK,2,TRAINING_TASK,4,30,2,2,2203,1,real,1,414,6,0,0,1,0,0,3
4,1,TRAINING_BLOCK,2,TRAINING_TASK,5,6,1,2,2866,2,1055,1,544,6,0,0,1,0,1,3
5,1,TRAINING_BLOCK,2,TRAINING_TASK,6,13,1,2,5401,2,24440,1,424,6,0,0,1,0,1,3
6,1,TRAINING_BLOCK,2,TRAINING_TASK,7,29,1,1,1368,1,real,1,597,6,0,0,1,1,1,3
7,1,TRAINING_BLOCK,2,TRAINING_TASK,8,7,2,1,1255,2,1055,1,532,6,0,0,1,1,0,3
8,1,TRAINING_BLOCK,2,TRAINING_TASK,9,20,1,2,1359,2,60000,1,571,6,0,0,1,0,1,3
9,1,TRAINING_BLOCK,2,TRAINING_TASK,10,2,1,2,5558,2,344,1,535,6,0,0,1,0,1,3
10,1,TRAINING_BLOCK,2,TRAINING_TASK,11,11,2,1,2177,2,7954,1,536,6,0,0,1,1,0,3
11,1,TRAINING_BLOCK,2,TRAINING_TASK,12,26,1,1,2901,1,real,1,436,6,0,0,1,1,1,3
12,1,TRAINING_BLOCK,2,TRAINING_TASK,13,17,1,2,2032,2,60000,1,440,6,0,0,1,0,1,3
13,1,TRAINING_BLOCK,2,TRAINING_TASK,14,18,2,1,1408,2,60000,1,402,6,0,0,1,1,0,3
14,1,TRAINING_BLOCK,2,TRAINING_TASK,15,15,2,1,1232,2,24440,1,432,6,0,0,1,1,0,3
15,1,TRAINING_BLOCK,2,TRAINING_TASK,16,25,1,1,770,1,real,1,413,6,0,0,1,1,1,3
16,1,TRAINING_BLOCK,2,TRAINING_TASK,17,4,1,2,1086,2,344,1,478,6,0,0,1,0,1,3
17,1,TRAINING_BLOCK,2,TRAINING_TASK,18,22,1,1,1219,1,real,1,419,6,0,0,1,1,1,3
18,1,TRAINING_BLOCK,2,TRAINING_TASK,19,10,1,2,2010,2,7954,1,429,6,0,0,1,0,1,3
19,1,TRAINING_BLOCK,2,TRAINING_TASK,20,14,1,2,2597,2,24440,1,456,6,0,0,1,0,1,3
